,job_title,company_name,location,job_kind,skills
98,Power BI Developer,Sutherland,"Alexandria, Egypt ",Full Time,Full TimeWork From HomeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Intelligence · DAX · Power BI · SQL · BI · Data Warehousing · Python
99,Senior Technical Consulting Specialist (Cloud DevOps),Alnafitha,"Cairo, Egypt ",Full Time,Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MCSE · Computer Science · ITIL · Azure DevOps Server · AWS · Information Technology (IT) · Maintenance · Microsoft
100,MIS Specialist,Etisalat Egypt,"Maadi, Cairo, Egypt ",Work From Home,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · workforce · MIS · Call Center · Business Administration · Computer Science
101,Computer Vision Engineer,Edentech,"Cairo, Egypt ",Full Time,Full TimeExperienced · 4 - 9 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer · Computer Engineering · Computer Science · Engineering · Information Technology (IT) · Git · Software Development
102,Front End Developer,BLTHANIH LTD.,"Cairo, Egypt ",Full Time,Full TimeSenior Management · 3 - 5 Yrs of Exp · IT/Software Development · React Native · React · React.js · React js · Front · Front end developer · Front end · Software Development
103,IT Specialist,Egypro FME,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Systems · Information Technology (IT) · Communication skills · English
104,Full Stack Developer,RAQAMYAT,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Angular · PHP · Laravel · HTML · CSS · Engineering · Computer Science
105,BI Developer,Centro CDX,"Maadi, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Computer Science · BI · Data Warehouse · Development · Information Technology (IT) · OLAP
106,BI Team Leader,Dataplus information systems,"Cairo, Egypt ",Full Time,Full TimeManager · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication skills · Management · SQL · Tableau · Information Technology (IT) · Team Leadership
107,Product Enablement Manager,Dafater,"Nasr City, Cairo, Egypt ",Full Time,Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Engineering · Computer Science · Computer Engineering · Information Technology (IT) · Product Management · SaaS · Management
108,Devops Engineer,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · DevOps · Devops Engineer · Git · Software Engineering · Computer Science · Applications
109,Devops Engineer,Fawry for Banking Technology and Electronic Payments S.A.E,"Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · Computer Science · Engineering · Software Development · Information Technology (IT) · Computer Engineering · Lunix · Git
110,Senior Backend Developer (.net),Dafater,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · Git · HTML · Information Technology (IT) · jQuery · MySQL · Software
111,PHP Web Developer,(MSA) October University,"6th of October, Giza, Egypt ",Full Time,Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · HTML5 · JavaScript · CSS3 · Web Development · PHP · Laravel
112,Senior Data Analyst,Shiny White Dental Center ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · SQL · Powerbi · Statistics · Data Analysis · Data · Science · Information Technology (IT)
113,Front End Developer,RAQAMYAT,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · front-end · Computer Science · CSS · CSS3 · Angular · Engineering · Git · HTML
114,Embedded System Engineer,El-Sewedy Electrometer,"6th of October, Giza, Egypt ",Internship,InternshipEntry Level · IT/Software Development · Engineering - Telecom/Technology · C · C++ · Communication · Information Technology (IT) · Software Engineering · Embedded Systems · Firmware · Development
115,Software Quality Control Engineer,Kashier Payment Solutions,"Zamalek, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Quality Control · Computer Science · Engineering · QA · QC · Software
116,Business Intelligence Manager - Cairo,Pyramid Poultry Co.,"New Cairo, Cairo, Egypt ",Full Time,Full TimeManager · 5 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Business Development · Computer Science · Power BI · Mathematics
117,UI Developer,Collars HR,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · developer · Software Development · UI · UI Developer · Computer Science
